# Default mapping of Minecraft blocks to Minetest nodes.
#
# This file is encoded in ASCII. Comment lines start with a #. The data consists
# of two comma-separated columns.  The first column contains the Minecraft block
# name in one of the following formats:
#
# n
# n:m
# BLOCK_NAME
# BLOCK_NAME:m
# BLOCK_NAME:DATA_NAME
#
# Where n and m are integer numbers for block ID and data value respectively and
# BLOCK_NAME and DATA_NAME are the names of constants in the
# org.pepsoft.minecraft.Constants class.
#
# If the data value is not specified, all data values for that block ID are
# mapped to the specified Minetest node. If it is specified, only that specific
# data value is mapped.
#
# The second column contains the Minetest node name.

BLK_AIR, air
# TODO: types of stone:
BLK_STONE, default:stone
BLK_GRASS, default:dirt_with_grass
# Not a Minecraft block, but placed by the Minetest post processor:
BLK_GRASS:15, default:dirt_with_snow
# TODO: permadirt and podzol:
BLK_DIRT, default:dirt
BLK_COBBLESTONE, default:cobble
BLK_WOODEN_PLANK, default:wood
BLK_SAPLING:DATA_OAK, default:sapling
BLK_SAPLING:DATA_PINE, default:pine_sapling
# Not actually the same:
BLK_SAPLING:DATA_BIRCH, default:aspen_sapling
BLK_SAPLING:DATA_JUNGLE, default:junglesapling
BLK_SAPLING:DATA_ACACIA_SAPLING, default:acacia_sapling
# BLK_BEDROCK
BLK_WATER, default:water_source
BLK_STATIONARY_WATER, default:water_source
 
BLK_LAVA, default:lava_source
BLK_STATIONARY_LAVA, default:lava_source
BLK_SAND:0, default:sand
BLK_SAND:1, default:desert_sand
BLK_GRAVEL, default:gravel
BLK_GOLD_ORE, default:stone_with_gold
BLK_IRON_ORE, default:stone_with_iron
BLK_COAL, default:stone_with_coal
BLK_WOOD:0, default:tree
BLK_WOOD:1, default:pine_tree
BLK_WOOD:2, default:aspen_tree
BLK_WOOD:3, default:jungletree
BLK_WOOD:4, default:tree
BLK_WOOD:5, default:pine_tree
BLK_WOOD:6, default:aspen_tree
BLK_WOOD:7, default:jungletree
BLK_WOOD:8, default:tree
BLK_WOOD:9, default:pine_tree
BLK_WOOD:10, default:aspen_tree
BLK_WOOD:11, default:jungletree
BLK_WOOD:12, default:tree
BLK_WOOD:13, default:pine_tree
BLK_WOOD:14, default:aspen_tree
BLK_WOOD:15, default:jungletree
BLK_LEAVES:0, default:leaves
BLK_LEAVES:1, default:pine_needles
BLK_LEAVES:2, default:aspen_leaves
BLK_LEAVES:3, default:jungleleaves
BLK_LEAVES:4, default:leaves
BLK_LEAVES:5, default:pine_needles
BLK_LEAVES:6, default:aspen_leaves
BLK_LEAVES:7, default:jungleleaves
BLK_LEAVES:8, default:leaves
BLK_LEAVES:9, default:pine_needles
BLK_LEAVES:10, default:aspen_leaves
BLK_LEAVES:11, default:jungleleaves
BLK_LEAVES:12, default:leaves
BLK_LEAVES:13, default:pine_needles
BLK_LEAVES:14, default:aspen_leaves
BLK_LEAVES:15, default:jungleleaves
# BLK_SPONGE
 
BLK_GLASS, default:glass
# BLK_LAPIS_LAZULI_ORE
# BLK_LAPIS_LAZULI_BLOCK
# BLK_DISPENSER
BLK_SANDSTONE, default:sandstone
# BLK_NOTE_BLOCK
BLK_BED:0, beds:bed_top
BLK_BED:1, beds:bed_top
BLK_BED:2, beds:bed_top
BLK_BED:3, beds:bed_top
BLK_BED:4, beds:bed_bottom
BLK_BED:5, beds:bed_bottom
BLK_BED:6, beds:bed_bottom
BLK_BED:7, beds:bed_bottom
BLK_POWERED_RAILS, carts:powerrail
# BLK_DETECTOR_RAILS
# 29

# BLK_COBWEB
BLK_TALL_GRASS:0, default:dry_shrub
BLK_TALL_GRASS:1, default:grass_3
# TODO any way to get a fern:
BLK_TALL_GRASS:2, default:grass_4
BLK_DEAD_SHRUBS, default:dry_shrub
#BLK_PISTON
#BLK_PISTON_HEAD
BLK_WOOL:DATA_WHITE, wool:white
BLK_WOOL:DATA_ORANGE, wool:orange
BLK_WOOL:DATA_MAGENTA, wool:magenta
# TODO: or blue:
BLK_WOOL:DATA_LIGHT_BLUE, wool:cyan
BLK_WOOL:DATA_YELLOW, wool:yellow
BLK_WOOL:DATA_LIME, wool:green
BLK_WOOL:DATA_PINK, wool:pink
BLK_WOOL:DATA_GREY, wool:dark_grey
BLK_WOOL:DATA_LIGHT_GREY, wool:grey
BLK_WOOL:DATA_CYAN, wool:cyan
BLK_WOOL:DATA_PURPLE, wool:violet
BLK_WOOL:DATA_BLUE, wool:blue
BLK_WOOL:DATA_BROWN, wool:brown
BLK_WOOL:DATA_GREEN, wool:dark_green
BLK_WOOL:DATA_RED, wool:red
BLK_WOOL:DATA_BLACK, wool:black
# BLK_PISTON_EXTENSION
BLK_DANDELION, flowers:dandelion_yellow
# The flowers are mapped to preserve their colour, as much as possible:
BLK_ROSE:0, flowers:rose
BLK_ROSE:1, flowers:geranium
BLK_ROSE:2, flowers:viola
BLK_ROSE:3, flowers:dandelion_white
BLK_ROSE:4, flowers:rose
BLK_ROSE:5, flowers:tulip
BLK_ROSE:6, flowers:dandelion_white
BLK_ROSE:7, flowers:viola
BLK_ROSE:8, flowers:dandelion_white
BLK_BROWN_MUSHROOM, flowers:mushroom_brown

BLK_RED_MUSHROOM, flowers:mushroom_red
BLK_GOLD_BLOCK, default:goldblock
BLK_IRON_BLOCK, default:steelblock
BLK_DOUBLE_SLAB:0, default:stone_block
BLK_DOUBLE_SLAB:1, default:sandstone_block
BLK_DOUBLE_SLAB:3, default:cobble
BLK_DOUBLE_SLAB:4, default:brick
BLK_DOUBLE_SLAB:5, default:stonebrick
BLK_DOUBLE_SLAB:8, default:stone_block
BLK_DOUBLE_SLAB:9, default:sandstone_block
BLK_SLAB:0, stairs:slab_stone
BLK_SLAB:1, stairs:slab_sandstone
BLK_SLAB:3, stairs:slab_cobble
BLK_SLAB:4, stairs:slab_stone
BLK_SLAB:5, stairs:slab_stonebrick
BLK_SLAB:7, stairs:slab_stone
BLK_BRICKS, default:brick
BLK_TNT, tnt:tnt
BLK_BOOKCASE, default:bookshelf
BLK_MOSSY_COBBLESTONE, default:mossycobble
BLK_OBSIDIAN, default:obsidian

BLK_TORCH, default:torch
BLK_FIRE, fire:basic_flame
#BLK_MONSTER_SPAWNER
# TODO directions:
BLK_WOODEN_STAIRS, stairs:stair_wood
BLK_CHEST, default:chest
# TODO: should redstone be mapped to mese, and redstone related blocks to corresponding mesecons blocks?
#BLK_REDSTONE_WIRE
BLK_DIAMOND_ORE, default:stone_with_diamond
BLK_DIAMOND_BLOCK, default:diamondblock
#BLK_CRAFTING_TABLE
BLK_WHEAT:0, farming:wheat_1
BLK_WHEAT:1, farming:wheat_2
